Metric,Value
Total Area (Acres),"7,579"
Stable Area (Acres),"4,410"
Changed Area (Acres),"3,169"
Percentage Changed,41.8%
Percentage Stable,58.2%
2017-2020: Single Kharif (Acres),"1,404"
2022-2025: Single Kharif (Acres),"2,995"
Change: Single Kharif (Acres),"+1,591"
2017-2020: Single Non-Kharif (Acres),44
2022-2025: Single Non-Kharif (Acres),281
Change: Single Non-Kharif (Acres),+237
2017-2020: Double Cropping (Acres),"3,665"
2022-2025: Double Cropping (Acres),"2,486"
Change: Double Cropping (Acres),"-1,178"
2017-2020: Triple Cropping (Acres),"2,466"
2022-2025: Triple Cropping (Acres),"1,816"
Change: Triple Cropping (Acres),-650
