Cropping Layer,Metric,2017-2020,2022-2025
Single Kharif,Number of Hotspot Clusters,268.0,269.0
Single Kharif,Minimum Distance (km),14.25,14.23
Single Kharif,Maximum Distance (km),98.62,98.62
Single Kharif,Average Distance (km),53.8,47.32
Single Kharif,Std Deviation (km),16.86,17.69
Single Non-Kharif,Number of Hotspot Clusters,197.0,265.0
Single Non-Kharif,Minimum Distance (km),26.12,21.48
Single Non-Kharif,Maximum Distance (km),100.3,97.3
Single Non-Kharif,Average Distance (km),71.58,63.97
Single Non-Kharif,Std Deviation (km),17.86,18.55
Double Cropping,Number of Hotspot Clusters,269.0,267.0
Double Cropping,Minimum Distance (km),3.75,1.84
Double Cropping,Maximum Distance (km),84.64,89.65
Double Cropping,Average Distance (km),33.27,35.46
Double Cropping,Std Deviation (km),19.4,19.5
Triple Cropping,Number of Hotspot Clusters,256.0,255.0
Triple Cropping,Minimum Distance (km),5.86,3.65
Triple Cropping,Maximum Distance (km),83.53,84.55
Triple Cropping,Average Distance (km),43.11,39.48
Triple Cropping,Std Deviation (km),19.57,19.93
